Options:
Model:                           Independent Contrasts
Tree File Name:                  marsupials.trees
Data File Name:                  marsupials_brownian.txt
Log File Name:                   marsupials_brownian.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1015820125
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   20000
Iterations:                      11000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   marsupials_brownian.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
Restrictions:
    Alpha-1                      None
    Sigma-1                      None
Prior Information:
    Priors
        Alpha-1 - uniform -100.00 100.00 
        Sigma-1 - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       246
     Sites:                      1
Iteration	Lh	Tree No	Alpha 1	Sigma^2 1	
1020000	-139.372964	1	1.835335023042	0.011118424477	
1040000	-139.361827	1	2.382649761074	0.011181713479	
1060000	-139.638795	1	2.179082156375	0.009889641613	
1080000	-139.103061	1	2.186166059707	0.011031127765	
1100000	-139.161231	1	2.102398741469	0.011281964756	
1120000	-140.025049	1	2.596682633343	0.010390583265	
1140000	-140.678032	1	1.602058085667	0.012187285768	
1160000	-139.866849	1	2.595432754329	0.011023631033	
1180000	-139.429194	1	1.886985537961	0.010312133817	
1200000	-140.422691	1	2.560329810719	0.009851357705	
1220000	-140.357531	1	2.092088734607	0.009428424153	
1240000	-140.022857	1	2.127263448859	0.009611681621	
1260000	-139.502721	1	2.378212009661	0.011514242489	
1280000	-139.446046	1	2.277528561837	0.011640017794	
1300000	-142.689853	1	1.198339282236	0.012423521770	
1320000	-140.004268	1	2.319379893908	0.012201630667	
1340000	-139.083300	1	2.058853226206	0.010823048570	
1360000	-139.115744	1	2.207077188996	0.010684792069	
1380000	-140.169223	1	1.892054353753	0.012321610669	
1400000	-139.816484	1	2.581172829213	0.010958360529	
1420000	-140.961044	1	1.732998039533	0.012713781900	
1440000	-140.636137	1	2.782810348276	0.011272124486	
1460000	-142.813496	1	1.293544819682	0.012930702096	
1480000	-139.354538	1	2.267542089538	0.010260874478	
1500000	-139.463810	1	1.779499885989	0.010882310692	
1520000	-139.470972	1	2.247403164505	0.011712607467	
1540000	-139.399603	1	2.385226190923	0.010498461821	
1560000	-139.251499	1	2.053232094231	0.011443518325	
1580000	-140.189867	1	1.685763122349	0.010005630692	
1600000	-139.312231	1	1.882514300496	0.010564841914	
1620000	-139.550368	1	2.488213849947	0.010965050913	
1640000	-139.169925	1	2.197569530146	0.010485924758	
1660000	-140.612857	1	1.456846967329	0.011291013104	
1680000	-140.262668	1	2.542214273370	0.012030171408	
1700000	-142.699463	1	3.072990267350	0.012207243097	
1720000	-141.894513	1	2.046143621169	0.008834774817	
1740000	-139.221897	1	2.187594885259	0.011380410423	
1760000	-141.909780	1	3.022349714180	0.010859753501	
1780000	-139.310114	1	2.216488225954	0.011511254126	
1800000	-139.196522	1	2.232411392888	0.010481131343	
1820000	-140.794550	1	2.125803702249	0.012897298201	
1840000	-139.629552	1	1.723682802259	0.011128504518	
1860000	-139.767051	1	2.325762631229	0.009908623178	
1880000	-140.694930	1	2.754126038000	0.010342904071	
1900000	-139.129767	1	2.190400854786	0.011139815448	
1920000	-139.362986	1	1.828027550406	0.010795162924	
1940000	-139.506251	1	1.824320089818	0.011419163689	
1960000	-139.969619	1	1.669918788077	0.011581634326	
1980000	-139.200145	1	2.262613490911	0.010544440400	
2000000	-139.628603	1	2.127423781819	0.009886198178	
2020000	-139.144252	1	2.024345759958	0.010575387076	
2040000	-140.002029	1	2.635182882857	0.011024019545	
2060000	-141.348506	1	1.775163760292	0.009193042684	
2080000	-139.161262	1	1.969106725745	0.011034591424	
2100000	-139.476574	1	2.155593330243	0.010026891512	
2120000	-139.766222	1	1.834501220445	0.011832568196	
2140000	-139.144052	1	1.973474555150	0.010926627866	
2160000	-140.713851	1	1.596576250281	0.012204932948	
2180000	-139.533667	1	2.433739689604	0.011372469006	
2200000	-141.539517	1	2.854066766701	0.010002247120	
2220000	-140.002395	1	2.599372541980	0.011440928730	
2240000	-139.994094	1	2.580841597530	0.010353834495	
2260000	-139.832545	1	2.545259652294	0.011424846880	
2280000	-140.412117	1	1.890538320551	0.012516923597	
2300000	-139.439286	1	2.256545140139	0.011659129389	
2320000	-142.433614	1	3.058264813507	0.010349860070	
2340000	-142.074937	1	2.174847998536	0.013652291233	
2360000	-139.465818	1	1.779165793146	0.010941746297	
2380000	-139.528121	1	2.446459676503	0.011295362155	
2400000	-139.635877	1	2.046508648971	0.011951380099	
2420000	-139.869948	1	1.696524832204	0.010326961360	
2440000	-140.417557	1	1.693144186463	0.009806419659	
2460000	-140.102130	1	2.424619889030	0.012138136448	
2480000	-143.200960	1	2.361137740030	0.014156393487	
2500000	-141.338878	1	2.594543471312	0.012813006365	
2520000	-139.647254	1	2.434097424440	0.011578314597	
