Steppingstone sampler:
        No Stones:                  1000
        Start It:                   11000001
        It Per Stone:               5000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.997502	3750	-0.350062	-0.350062
1	0.995007	3750	-0.349181	-0.699243
2	0.992517	3750	-0.349138	-1.048380
3	0.990030	3750	-0.348349	-1.396730
4	0.987547	3750	-0.347914	-1.744643
5	0.985067	3750	-0.347531	-2.092174
6	0.982592	3750	-0.346742	-2.438916
7	0.980120	3750	-0.346366	-2.785283
8	0.977652	3750	-0.346041	-3.131323
9	0.975187	3750	-0.345390	-3.476714
10	0.972726	3750	-0.344709	-3.821423
11	0.970269	3750	-0.344462	-4.165884
12	0.967816	3750	-0.343763	-4.509648
13	0.965367	3750	-0.343525	-4.853173
14	0.962921	3750	-0.342646	-5.195819
15	0.960479	3750	-0.342142	-5.537961
16	0.958040	3750	-0.341647	-5.879608
17	0.955606	3750	-0.341084	-6.220692
18	0.953175	3750	-0.340518	-6.561210
19	0.950747	3750	-0.339979	-6.901189
20	0.948324	3750	-0.339632	-7.240821
21	0.945904	3750	-0.339278	-7.580099
22	0.943488	3750	-0.338512	-7.918611
23	0.941076	3750	-0.337818	-8.256429
24	0.938667	3750	-0.337648	-8.594077
25	0.936262	3750	-0.337088	-8.931165
26	0.933861	3750	-0.336373	-9.267538
27	0.931463	3750	-0.335864	-9.603403
28	0.929069	3750	-0.335508	-9.938911
29	0.926679	3750	-0.334954	-10.273864
30	0.924293	3750	-0.334494	-10.608358
31	0.921910	3750	-0.333849	-10.942208
32	0.919531	3750	-0.333609	-11.275816
33	0.917155	3750	-0.332969	-11.608786
34	0.914783	3750	-0.332970	-11.941755
35	0.912415	3750	-0.332076	-12.273832
36	0.910051	3750	-0.331245	-12.605077
37	0.907690	3750	-0.330790	-12.935867
38	0.905333	3750	-0.330471	-13.266338
39	0.902980	3750	-0.329922	-13.596260
40	0.900630	3750	-0.329577	-13.925836
41	0.898284	3750	-0.328692	-14.254528
42	0.895942	3750	-0.328331	-14.582859
43	0.893603	3750	-0.327978	-14.910837
44	0.891268	3750	-0.327309	-15.238146
45	0.888937	3750	-0.326917	-15.565063
46	0.886609	3750	-0.326771	-15.891834
47	0.884285	3750	-0.326166	-16.218000
48	0.881965	3750	-0.325723	-16.543723
49	0.879648	3750	-0.324879	-16.868603
50	0.877335	3750	-0.324480	-17.193082
51	0.875026	3750	-0.323995	-17.517077
52	0.872720	3750	-0.323172	-17.840249
53	0.870418	3750	-0.323126	-18.163376
54	0.868120	3750	-0.322417	-18.485793
55	0.865825	3750	-0.322225	-18.808018
56	0.863534	3750	-0.321296	-19.129313
57	0.861246	3750	-0.321009	-19.450323
58	0.858962	3750	-0.320333	-19.770656
59	0.856682	3750	-0.319413	-20.090069
60	0.854405	3750	-0.319122	-20.409191
61	0.852132	3750	-0.318923	-20.728114
62	0.849863	3750	-0.317954	-21.046068
63	0.847597	3750	-0.317693	-21.363761
64	0.845335	3750	-0.317474	-21.681235
65	0.843077	3750	-0.316880	-21.998116
66	0.840822	3750	-0.316605	-22.314721
67	0.838571	3750	-0.315636	-22.630357
68	0.836323	3750	-0.315465	-22.945821
69	0.834079	3750	-0.314810	-23.260631
70	0.831839	3750	-0.314159	-23.574791
71	0.829602	3750	-0.314093	-23.888883
72	0.827369	3750	-0.313304	-24.202187
73	0.825140	3750	-0.312821	-24.515007
74	0.822914	3750	-0.312249	-24.827257
75	0.820691	3750	-0.312014	-25.139271
76	0.818473	3750	-0.311186	-25.450457
77	0.816258	3750	-0.310665	-25.761122
78	0.814046	3750	-0.310390	-26.071511
79	0.811838	3750	-0.309958	-26.381469
80	0.809634	3750	-0.309373	-26.690842
81	0.807433	3750	-0.309198	-27.000039
82	0.805236	3750	-0.308195	-27.308235
83	0.803043	3750	-0.307752	-27.615986
84	0.800853	3750	-0.307277	-27.923264
85	0.798667	3750	-0.306934	-28.230198
86	0.796484	3750	-0.306374	-28.536572
87	0.794305	3750	-0.305602	-28.842174
88	0.792129	3750	-0.305457	-29.147630
89	0.789957	3750	-0.305033	-29.452663
90	0.787789	3750	-0.304652	-29.757316
91	0.785624	3750	-0.303924	-30.061240
92	0.783463	3750	-0.303156	-30.364396
93	0.781305	3750	-0.303052	-30.667448
94	0.779151	3750	-0.302263	-30.969711
95	0.777000	3750	-0.301700	-31.271412
96	0.774853	3750	-0.301367	-31.572779
97	0.772710	3750	-0.300957	-31.873736
98	0.770570	3750	-0.300713	-32.174449
99	0.768433	3750	-0.299713	-32.474162
100	0.766301	3750	-0.299252	-32.773414
101	0.764172	3750	-0.299158	-33.072572
102	0.762046	3750	-0.298459	-33.371031
103	0.759924	3750	-0.298325	-33.669356
104	0.757805	3750	-0.297843	-33.967199
105	0.755690	3750	-0.297053	-34.264252
106	0.753579	3750	-0.296600	-34.560852
107	0.751471	3750	-0.296382	-34.857233
108	0.749366	3750	-0.295467	-35.152700
109	0.747266	3750	-0.294830	-35.447530
110	0.745168	3750	-0.294337	-35.741866
111	0.743075	3750	-0.294204	-36.036070
112	0.740984	3750	-0.293651	-36.329721
113	0.738898	3750	-0.293128	-36.622849
114	0.736815	3750	-0.292551	-36.915399
115	0.734735	3750	-0.291969	-37.207369
116	0.732659	3750	-0.291283	-37.498652
117	0.730586	3750	-0.291013	-37.789665
118	0.728517	3750	-0.290439	-38.080105
119	0.726452	3750	-0.290014	-38.370118
120	0.724390	3750	-0.289746	-38.659864
121	0.722331	3750	-0.289525	-38.949389
122	0.720276	3750	-0.288731	-39.238119
123	0.718225	3750	-0.288291	-39.526410
124	0.716177	3750	-0.288034	-39.814444
125	0.714132	3750	-0.287451	-40.101895
126	0.712091	3750	-0.286790	-40.388685
127	0.710054	3750	-0.286206	-40.674892
128	0.708020	3750	-0.285632	-40.960524
