Steppingstone sampler:
        No Stones:                  1000
        Start It:                   11000001
        It Per Stone:               5000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.997502	3750	-0.209384	-0.209384
1	0.995007	3750	-0.217710	-0.427094
2	0.992517	3750	-0.207432	-0.634526
3	0.990030	3750	-0.199294	-0.833820
4	0.987547	3750	-0.203837	-1.037657
5	0.985067	3750	-0.217910	-1.255567
6	0.982592	3750	-0.202978	-1.458545
7	0.980120	3750	-0.215544	-1.674089
8	0.977652	3750	-0.221617	-1.895706
9	0.975187	3750	-0.218871	-2.114577
10	0.972726	3750	-0.213916	-2.328493
11	0.970269	3750	-0.207934	-2.536427
12	0.967816	3750	-0.212164	-2.748591
13	0.965367	3750	-0.204072	-2.952663
14	0.962921	3750	-0.202830	-3.155493
15	0.960479	3750	-0.204517	-3.360010
16	0.958040	3750	-0.216222	-3.576232
17	0.955606	3750	-0.213367	-3.789599
18	0.953175	3750	-0.208149	-3.997748
19	0.950747	3750	-0.216007	-4.213755
20	0.948324	3750	-0.200938	-4.414694
21	0.945904	3750	-0.196515	-4.611208
22	0.943488	3750	-0.202907	-4.814115
23	0.941076	3750	-0.204670	-5.018785
24	0.938667	3750	-0.209578	-5.228363
25	0.936262	3750	-0.211781	-5.440144
26	0.933861	3750	-0.210816	-5.650960
27	0.931463	3750	-0.215422	-5.866382
28	0.929069	3750	-0.209313	-6.075696
29	0.926679	3750	-0.205267	-6.280963
30	0.924293	3750	-0.207327	-6.488290
31	0.921910	3750	-0.210907	-6.699197
32	0.919531	3750	-0.209800	-6.908997
33	0.917155	3750	-0.218385	-7.127382
34	0.914783	3750	-0.212275	-7.339657
35	0.912415	3750	-0.225503	-7.565160
36	0.910051	3750	-0.213095	-7.778255
37	0.907690	3750	-0.224117	-8.002373
38	0.905333	3750	-0.210712	-8.213084
39	0.902980	3750	-0.205348	-8.418432
40	0.900630	3750	-0.203870	-8.622303
41	0.898284	3750	-0.210294	-8.832596
42	0.895942	3750	-0.220227	-9.052823
43	0.893603	3750	-0.230640	-9.283463
44	0.891268	3750	-0.222351	-9.505814
45	0.888937	3750	-0.217865	-9.723679
46	0.886609	3750	-0.211090	-9.934768
47	0.884285	3750	-0.217365	-10.152133
48	0.881965	3750	-0.223227	-10.375360
49	0.879648	3750	-0.217677	-10.593036
50	0.877335	3750	-0.213549	-10.806586
51	0.875026	3750	-0.208554	-11.015139
52	0.872720	3750	-0.208005	-11.223144
53	0.870418	3750	-0.206233	-11.429377
54	0.868120	3750	-0.214580	-11.643957
55	0.865825	3750	-0.208374	-11.852331
56	0.863534	3750	-0.204978	-12.057309
57	0.861246	3750	-0.202727	-12.260036
58	0.858962	3750	-0.198312	-12.458348
59	0.856682	3750	-0.206487	-12.664835
60	0.854405	3750	-0.205050	-12.869885
61	0.852132	3750	-0.208933	-13.078818
