Options:
Model:                           Independent Contrasts
Tree File Name:                  marsupial_tree.tree
Data File Name:                  marsupials_variabledeltarate.txt
Log File Name:                   marsupials_variabledeltarate.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            128529448
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   20000
Iterations:                      11000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   marsupials_variabledeltarate.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  True
RJ Local OU:                     False
Using VarRates:                  True
Restrictions:
    Alpha-1                      None
    Sigma-1                      None
Prior Information:
    Priors
        Alpha-1 - uniform -100.00 100.00 
        Sigma-1 - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
        Delta - uniform 0.00 3.00 
Tree Information
     Trees:                      1
     Taxa:                       246
     Sites:                      1
Iteration	Lh	Tree No	Alpha 1	Sigma^2 1	No RJ Local Branch	No RJ Local Node	No RJ Local Delta	
1020000	-59.491445	1	1.265058210608	1.246185321925	22	10	15	
1040000	-60.699327	1	1.175976335319	1.883370968503	23	13	12	
1060000	-48.467038	1	2.180738731336	2.103909110096	27	11	14	
1080000	-44.909588	1	0.426279556509	1.691159471922	18	14	11	
1100000	-59.962089	1	1.501259867158	1.277068985692	21	9	7	
1120000	-56.259362	1	3.022127392028	0.841031835664	28	10	11	
1140000	-64.281182	1	1.853442569081	1.394215134413	30	7	10	
1160000	-65.842655	1	1.242627955068	1.828505786623	13	9	13	
1180000	-46.500244	1	2.602266793653	1.592325802808	21	11	17	
1200000	-67.600976	1	1.019620237446	1.747507377214	23	16	9	
1220000	-56.410411	1	2.485665947004	1.241718126610	28	9	14	
1240000	-43.320870	1	2.307738512737	1.251256288345	23	10	12	
1260000	-53.994528	1	1.726656366206	1.416908843956	24	9	12	
1280000	-46.092596	1	3.788732223943	2.077596473016	25	8	13	
1300000	-67.037376	1	2.188869260061	1.285816631812	28	14	12	
1320000	-54.831576	1	2.055601003714	1.521868254395	23	5	12	
1340000	-63.830654	1	2.336722945285	1.294306824576	16	9	13	
1360000	-70.916906	1	2.864495021830	1.392598203705	18	8	13	
1380000	-51.053642	1	1.496154035620	2.206470642934	21	10	9	
1400000	-51.870294	1	0.595551815834	2.132991070650	23	10	15	
1420000	-51.996274	1	1.207798673464	2.341194796691	24	8	8	
1440000	-48.389278	1	0.620869068986	1.296438563039	17	8	13	
1460000	-65.899690	1	1.459495791468	1.360931666635	16	13	13	
1480000	-69.009818	1	4.103747742542	1.764161028036	20	7	16	
1500000	-56.554477	1	0.149901985486	1.418606350092	21	4	12	
1520000	-47.649665	1	-0.035795186110	1.381552196791	24	11	16	
1540000	-52.132673	1	1.781141031227	1.683741697994	24	6	14	
1560000	-60.146434	1	0.743752139376	1.747157330407	16	8	19	
1580000	-53.910290	1	1.835448212655	1.142741470857	19	11	16	
1600000	-57.659918	1	1.273334069759	1.396893617109	17	15	14	
1620000	-58.939086	1	0.546213041156	1.913084392749	15	12	11	
1640000	-62.469195	1	2.553909979263	2.024297706912	17	12	11	
1660000	-56.935142	1	1.592431360435	1.308238908729	11	8	16	
1680000	-53.510831	1	0.578439463771	1.395170384961	19	9	11	
1700000	-54.579701	1	2.684562922795	1.630810309581	24	10	10	
1720000	-68.562974	1	1.179260952023	1.844633879424	23	10	14	
1740000	-70.234201	1	3.080945094451	2.381124788460	17	6	6	
1760000	-63.354242	1	2.136281717250	1.420784365309	13	11	11	
1780000	-63.720082	1	2.401899830594	2.148850361828	21	5	13	
1800000	-58.067165	1	2.255577182598	3.269157635085	16	11	13	
1820000	-59.515581	1	0.261014409478	2.242751620578	19	9	11	
1840000	-52.255662	1	1.992798563560	2.712227146236	22	9	10	
1860000	-57.364199	1	2.258084889686	1.535825536496	21	7	11	
1880000	-49.211690	1	3.311154527993	0.973273843326	21	16	12	
1900000	-44.589955	1	1.712282491279	1.191766845771	24	9	16	
1920000	-62.575446	1	1.025928881742	1.503339876750	11	10	17	
1940000	-57.060900	1	1.236345336519	2.254220828622	21	9	16	
1960000	-52.545252	1	1.514572861245	1.552330629820	20	11	13	
1980000	-54.955732	1	1.944335454206	1.743576898111	25	5	12	
2000000	-62.928388	1	2.063640578138	1.655023346829	19	9	13	
2020000	-59.721914	1	2.809741280903	1.624451823979	25	9	17	
2040000	-62.557749	1	2.514542240045	1.685866914592	21	9	12	
2060000	-61.605614	1	1.898673113225	1.604607671165	21	17	14	
2080000	-56.436187	1	2.003812685071	1.846091127760	16	12	12	
2100000	-63.579718	1	1.577220426094	1.708626289229	14	13	12	
2120000	-52.034295	1	0.758148136188	1.868738957991	16	6	14	
2140000	-60.749946	1	2.401045156424	2.889319890345	17	8	15	
2160000	-75.847733	1	-1.223910674045	2.442408290666	14	9	10	
