Options:
Model:                           Independent Contrasts
Tree File Name:                  marsupials.trees
Data File Name:                  marsupials_vrates.txt
Log File Name:                   marsupials_vrates.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            4240715637
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   20000
Iterations:                      11000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   marsupials_vrates.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
Using VarRates:                  True
Restrictions:
    Alpha-1                      None
    Sigma-1                      None
Prior Information:
    Priors
        Alpha-1 - uniform -100.00 100.00 
        Sigma-1 - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       246
     Sites:                      1
Iteration	Lh	Tree No	Alpha 1	Sigma^2 1	No RJ Local Branch	No RJ Local Node	
1020000	-75.807964	1	2.212898812791	0.002526193039	14	11	
1040000	-61.885412	1	1.609854510084	0.001416107492	20	12	
1060000	-60.554126	1	1.879062186742	0.001217832234	20	13	
1080000	-72.609122	1	1.946527187720	0.002475141195	14	13	
1100000	-65.007805	1	1.880789017434	0.002300201741	22	12	
1120000	-56.657739	1	1.840737567093	0.001367808351	26	12	
1140000	-81.101537	1	2.331319709048	0.001461168183	29	18	
1160000	-71.788070	1	1.957506948319	0.001164885713	16	14	
1180000	-82.510038	1	1.862996832215	0.003649623317	25	9	
1200000	-66.530485	1	1.342388438706	0.001718666759	23	11	
1220000	-60.946931	1	2.392912498326	0.001795411968	22	15	
1240000	-70.041958	1	2.065443520972	0.002337804438	19	14	
1260000	-71.729177	1	2.169463927999	0.002223479564	17	11	
1280000	-68.076109	1	2.346161419040	0.002468274365	17	18	
1300000	-84.139635	1	2.091300696963	0.004150512578	13	12	
1320000	-71.344631	1	2.307917655597	0.003071765914	17	11	
1340000	-72.462363	1	2.016481332271	0.001183117636	31	9	
1360000	-78.297471	1	1.712316807037	0.001916629866	19	16	
1380000	-77.599941	1	2.275744348117	0.002067866461	17	12	
1400000	-71.573442	1	1.734995275610	0.002195646273	15	15	
1420000	-74.978776	1	1.750287723608	0.002171214072	16	14	
1440000	-65.639990	1	1.701070037561	0.002233972694	21	11	
1460000	-65.607349	1	1.997677669980	0.001630938903	23	13	
1480000	-89.538903	1	1.968003694214	0.002690013351	16	9	
1500000	-74.897012	1	1.620963460598	0.002009276724	20	12	
1520000	-77.921812	1	2.788924626095	0.002520501838	16	13	
1540000	-73.826600	1	1.861248978684	0.002506821402	22	10	
1560000	-56.013851	1	2.314940286046	0.002926720500	22	14	
1580000	-72.692792	1	1.939714793974	0.002961441820	18	17	
1600000	-64.394116	1	1.963668033624	0.002439711831	19	14	
1620000	-62.243156	1	1.856630275361	0.002358975738	19	13	
1640000	-53.963168	1	1.877993050486	0.001541731738	23	15	
1660000	-65.814342	1	1.808541012125	0.001899242094	27	14	
1680000	-70.853985	1	1.823362726404	0.001235349115	20	11	
1700000	-78.003251	1	2.637582448278	0.004781148664	15	10	
1720000	-59.420946	1	1.822472545812	0.002230448606	19	11	
1740000	-62.303650	1	2.111988786135	0.001116539457	23	19	
1760000	-52.045745	1	1.891330443318	0.001763740830	23	15	
1780000	-59.632013	1	1.714855713983	0.002541552765	14	9	
1800000	-63.162432	1	2.213452407689	0.003174690655	30	15	
1820000	-66.101295	1	2.027498047446	0.003008549674	18	11	
1840000	-72.500591	1	1.949402556273	0.004347094893	16	11	
1860000	-55.636552	1	1.425430311989	0.002073136615	20	12	
1880000	-56.441469	1	2.003251506269	0.002563166946	17	15	
1900000	-67.244906	1	1.796675284526	0.003048117785	11	16	
1920000	-63.124788	1	1.927721909932	0.003027754126	22	17	
1940000	-60.739711	1	2.000188072689	0.002035398923	22	16	
1960000	-66.825564	1	1.987885837828	0.002333647128	21	16	
1980000	-50.175745	1	1.589687467191	0.001394749031	36	17	
2000000	-56.815587	1	1.816895553930	0.001919752015	26	13	
2020000	-61.398250	1	1.847623473390	0.001506438422	13	15	
2040000	-68.935449	1	1.852570665921	0.004466645692	18	13	
2060000	-69.041374	1	1.874874309426	0.000920001470	16	19	
2080000	-61.971569	1	1.641177324415	0.002708595326	17	14	
2100000	-59.981102	1	1.919466853315	0.002684493805	29	12	
2120000	-67.773239	1	1.847054606371	0.002712681463	18	18	
2140000	-55.452708	1	1.977731782201	0.002168048241	18	21	
2160000	-48.615762	1	1.810327011224	0.001934854039	23	19	
2180000	-52.303895	1	1.501770943798	0.003054455083	23	11	
2200000	-64.051411	1	1.564296407601	0.002107770595	22	12	
2220000	-65.813258	1	1.481818152900	0.002177656096	20	14	
2240000	-43.457840	1	1.688710270571	0.002095267374	23	15	
2260000	-63.723705	1	1.716644757650	0.002152944993	20	13	
2280000	-52.405086	1	1.813094888942	0.002014009487	14	16	
2300000	-52.963416	1	1.857159089801	0.001636569472	22	15	
2320000	-66.451772	1	1.897602817449	0.001870149556	20	14	
2340000	-55.955927	1	1.796972268864	0.001933909066	24	15	
2360000	-66.863111	1	1.668523943829	0.002736823695	27	12	
2380000	-58.176320	1	1.593020631829	0.002391030206	23	12	
2400000	-61.822607	1	1.583081271701	0.001957807865	14	13	
2420000	-47.389284	1	1.948851555314	0.002575037751	20	15	
2440000	-59.683326	1	1.538878641542	0.001942791205	23	16	
2460000	-77.801923	1	1.518140929706	0.001934977235	26	16	
2480000	-54.276903	1	2.038876172114	0.001945561123	23	17	
2500000	-60.668534	1	1.482971771176	0.003450074247	18	11	
2520000	-68.154408	1	1.777504747005	0.003500287339	20	11	
2540000	-65.463277	1	1.882003709941	0.004192583872	21	11	
2560000	-67.403955	1	1.867664085953	0.003293808015	23	13	
2580000	-60.327319	1	1.707785782888	0.002078649920	19	16	
2600000	-64.065839	1	1.970702535990	0.001848492795	21	11	
2620000	-69.880032	1	1.678754484735	0.002849609855	18	7	
2640000	-75.318784	1	1.913816090617	0.002119778989	29	11	
2660000	-63.706455	1	1.609646177424	0.001319842293	19	10	
2680000	-69.698460	1	2.083529268952	0.001786142006	24	10	
2700000	-69.150712	1	1.692402851009	0.003140842576	18	17	
2720000	-60.799415	1	1.846591268555	0.002187153749	20	14	
2740000	-59.163048	1	1.966204912441	0.002176322807	22	13	
2760000	-74.166144	1	1.574133354341	0.003753858637	23	10	
2780000	-56.323172	1	1.630187376268	0.002038570352	19	12	
2800000	-57.898373	1	1.990723983447	0.001994013911	25	12	
2820000	-69.212158	1	2.128475934489	0.002561635284	27	10	
2840000	-64.494557	1	1.527363356934	0.002177141146	24	11	
2860000	-57.059610	1	2.001275939452	0.002484057851	15	11	
2880000	-63.081058	1	2.283463322039	0.002233537449	23	6	
2900000	-77.392528	1	2.107587330097	0.003075149760	23	11	
2920000	-71.601413	1	1.773741543626	0.003020648260	25	10	
2940000	-64.517958	1	1.849829215625	0.001653152374	26	15	
2960000	-74.355946	1	2.115052730903	0.002251752021	28	9	
2980000	-65.477593	1	1.928408156695	0.002906808252	17	15	
3000000	-74.467074	1	1.919729566668	0.001675858484	16	13	
