Steppingstone sampler:
        No Stones:                  1000
        Start It:                   11000001
        It Per Stone:               5000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.997502	3750	-0.165065	-0.165065
1	0.995007	3750	-0.163482	-0.328547
2	0.992517	3750	-0.160900	-0.489446
3	0.990030	3750	-0.157243	-0.646690
4	0.987547	3750	-0.177578	-0.824268
5	0.985067	3750	-0.172302	-0.996570
6	0.982592	3750	-0.171758	-1.168328
7	0.980120	3750	-0.188605	-1.356933
8	0.977652	3750	-0.188844	-1.545777
9	0.975187	3750	-0.158133	-1.703910
10	0.972726	3750	-0.179489	-1.883399
11	0.970269	3750	-0.159029	-2.042428
12	0.967816	3750	-0.161696	-2.204123
13	0.965367	3750	-0.146069	-2.350192
14	0.962921	3750	-0.155229	-2.505420
15	0.960479	3750	-0.183669	-2.689090
16	0.958040	3750	-0.198664	-2.887754
17	0.955606	3750	-0.171769	-3.059522
18	0.953175	3750	-0.171608	-3.231130
19	0.950747	3750	-0.178259	-3.409389
20	0.948324	3750	-0.168858	-3.578247
21	0.945904	3750	-0.188018	-3.766265
22	0.943488	3750	-0.165033	-3.931297
23	0.941076	3750	-0.185792	-4.117090
24	0.938667	3750	-0.193052	-4.310142
25	0.936262	3750	-0.195442	-4.505584
26	0.933861	3750	-0.206212	-4.711796
27	0.931463	3750	-0.186819	-4.898615
28	0.929069	3750	-0.146365	-5.044980
29	0.926679	3750	-0.157508	-5.202488
30	0.924293	3750	-0.154846	-5.357333
31	0.921910	3750	-0.166969	-5.524303
32	0.919531	3750	-0.150618	-5.674920
33	0.917155	3750	-0.167000	-5.841921
34	0.914783	3750	-0.161756	-6.003677
35	0.912415	3750	-0.159446	-6.163123
36	0.910051	3750	-0.164027	-6.327149
37	0.907690	3750	-0.159187	-6.486336
38	0.905333	3750	-0.175655	-6.661991
39	0.902980	3750	-0.158737	-6.820728
40	0.900630	3750	-0.178045	-6.998772
41	0.898284	3750	-0.197449	-7.196221
42	0.895942	3750	-0.169745	-7.365966
43	0.893603	3750	-0.160451	-7.526417
44	0.891268	3750	-0.172117	-7.698534
45	0.888937	3750	-0.164069	-7.862602
46	0.886609	3750	-0.171056	-8.033658
47	0.884285	3750	-0.157808	-8.191466
48	0.881965	3750	-0.178287	-8.369753
49	0.879648	3750	-0.165433	-8.535186
50	0.877335	3750	-0.169140	-8.704326
51	0.875026	3750	-0.155530	-8.859856
52	0.872720	3750	-0.160969	-9.020825
53	0.870418	3750	-0.182522	-9.203347
54	0.868120	3750	-0.169857	-9.373205
55	0.865825	3750	-0.182458	-9.555663
56	0.863534	3750	-0.179372	-9.735035
57	0.861246	3750	-0.186789	-9.921825
58	0.858962	3750	-0.190911	-10.112736
59	0.856682	3750	-0.181685	-10.294421
60	0.854405	3750	-0.182352	-10.476773
61	0.852132	3750	-0.179228	-10.656001
62	0.849863	3750	-0.194488	-10.850489
63	0.847597	3750	-0.159564	-11.010053
64	0.845335	3750	-0.189002	-11.199056
65	0.843077	3750	-0.131872	-11.330928
